% Model:              weld_defect_v2.mph
% Version:            COMSOL 6.4.0.429
% Date:               Sep 23 2026, 13:36
% Table:              Table 4 - Point Evaluation 1
% C_m (s/m)              Time (s)                 Velocity, Z-component (m/s), Point: (0, 0)
1.0E-6                   5.6100000000000006E-8    0.07643571405592708
1.0E-6                   5.620000000000001E-8     0.045726320174433274
1.0E-6                   5.630000000000001E-8     0.021694075992293605
1.0E-6                   5.640000000000001E-8     0.0062666586946828196
1.0E-6                   5.650000000000001E-8     -0.007877015381934239
1.0E-6                   5.660000000000001E-8     -0.02338987537933855
1.0E-6                   5.670000000000001E-8     -0.0326062462006136
1.0E-6                   5.680000000000001E-8     -0.02684007336608866
1.0E-6                   5.6900000000000007E-8    -0.009191286948114913
1.0E-6                   5.700000000000001E-8     0.005006441340161296
1.0E-6                   5.710000000000001E-8     0.0022702667837224606
1.0E-6                   5.720000000000001E-8     -0.014454639658661648
1.0E-6                   5.730000000000001E-8     -0.026083965411079522
1.0E-6                   5.740000000000001E-8     -0.013320559661627823
1.0E-6                   5.750000000000001E-8     0.026341572008689165
1.0E-6                   5.760000000000001E-8     0.07608497554655191
1.0E-6                   5.770000000000001E-8     0.11354804762751282
1.0E-6                   5.780000000000001E-8     0.1279180311445243
1.0E-6                   5.790000000000001E-8     0.12510323370586202
1.0E-6                   5.800000000000001E-8     0.11745851148945897
1.0E-6                   5.810000000000001E-8     0.10889489470929797
1.0E-6                   5.820000000000001E-8     0.09005294816508438
1.0E-6                   5.830000000000001E-8     0.04823982371569074
1.0E-6                   5.840000000000001E-8     -0.017554464551485686
1.0E-6                   5.850000000000001E-8     -0.09127887048082009
1.0E-6                   5.860000000000001E-8     -0.14944025240807227
1.0E-6                   5.870000000000001E-8     -0.17657597275856884
1.0E-6                   5.880000000000001E-8     -0.1724808787483855
1.0E-6                   5.890000000000001E-8     -0.14636547488447962
1.0E-6                   5.900000000000001E-8     -0.10617659431281341
1.0E-6                   5.910000000000001E-8     -0.05435214848428908
1.0E-6                   5.920000000000001E-8     0.007525747680686558
1.0E-6                   5.930000000000001E-8     0.07241075471460605
1.0E-6                   5.940000000000001E-8     0.127524872762773
1.0E-6                   5.950000000000001E-8     0.1606535729016639
1.0E-6                   5.960000000000001E-8     0.167551967653029
1.0E-6                   5.970000000000001E-8     0.15521213045081236
1.0E-6                   5.98E-8                  0.1392711957925793
1.0E-6                   5.990000000000001E-8     0.1365321755885142
1.0E-6                   6.000000000000001E-8     0.15540867014930357
1.0E-6                   6.010000000000002E-8     0.1893762293521817
1.0E-6                   6.020000000000001E-8     0.21892281098597513
1.0E-6                   6.03E-8                  0.22258922380187576
1.0E-6                   6.040000000000001E-8     0.1898857907565289
1.0E-6                   6.05E-8                  0.12637367942943117
1.0E-6                   6.060000000000001E-8     0.048175086478855746
1.0E-6                   6.070000000000001E-8     -0.027248392781376946
1.0E-6                   6.080000000000002E-8     -0.085813596687738
1.0E-6                   6.090000000000001E-8     -0.11662374436185441
1.0E-6                   6.1E-8                   -0.1129821864169557
1.0E-6                   6.110000000000001E-8     -0.07743018407871216
1.0E-6                   6.12E-8                  -0.025377019772893493
1.0E-6                   6.130000000000001E-8     0.019530736034708698
1.0E-6                   6.140000000000001E-8     0.03692371423655397
1.0E-6                   6.150000000000001E-8     0.018930275576140985
1.0E-6                   6.160000000000001E-8     -0.029632252016141336
1.0E-6                   6.170000000000002E-8     -0.09724184756160115
1.0E-6                   6.180000000000001E-8     -0.17000070257268457
1.0E-6                   6.19E-8                  -0.2315393538362866
1.0E-6                   6.200000000000001E-8     -0.2635350047866822
1.0E-6                   6.210000000000001E-8     -0.2520157776264168
1.0E-6                   6.220000000000001E-8     -0.19650693858279264
1.0E-6                   6.230000000000001E-8     -0.11269816869656317
1.0E-6                   6.240000000000002E-8     -0.023368035289648557
1.0E-6                   6.250000000000001E-8     0.05625537327698271
1.0E-6                   6.26E-8                  0.12577443436743843
1.0E-6                   6.270000000000001E-8     0.19268851744367946
1.0E-6                   6.28E-8                  0.258084968788179
1.0E-6                   6.290000000000001E-8     0.3093188488080161
1.0E-6                   6.300000000000001E-8     0.32738138523394483
1.0E-6                   6.310000000000002E-8     0.30233200300539625
1.0E-6                   6.320000000000001E-8     0.24259687428774826
1.0E-6                   6.33E-8                  0.17023850176913452
1.0E-6                   6.340000000000001E-8     0.10727228667989751
1.0E-6                   6.35E-8                  0.06473723219704973
1.0E-6                   6.360000000000001E-8     0.04148199478545231
1.0E-6                   6.370000000000001E-8     0.030153433645111163
1.0E-6                   6.380000000000002E-8     0.02321198884104411
1.0E-6                   6.390000000000001E-8     0.014623989305520545
1.0E-6                   6.400000000000002E-8     -0.001516012533903768
1.0E-6                   6.410000000000001E-8     -0.03136085940047585
1.0E-6                   6.42E-8                  -0.07813324020487455
1.0E-6                   6.430000000000001E-8     -0.13672924098843495
1.0E-6                   6.440000000000001E-8     -0.1906943978556766
1.0E-6                   6.450000000000002E-8     -0.21622694209565488
1.0E-6                   6.460000000000001E-8     -0.1936965630011734
1.0E-6                   6.470000000000002E-8     -0.12081851553982433
1.0E-6                   6.480000000000001E-8     -0.018078267976088462
1.0E-6                   6.49E-8                  0.07949621310386254
1.0E-6                   6.500000000000001E-8     0.14070830959633804
1.0E-6                   6.510000000000001E-8     0.1548971648654069
1.0E-6                   6.520000000000001E-8     0.1354003541207138
1.0E-6                   6.530000000000001E-8     0.10785707024270112
1.0E-6                   6.540000000000002E-8     0.09291580915309394
1.0E-6                   6.550000000000001E-8     0.0963408934044615
1.0E-6                   6.56E-8                  0.11195416018291329
1.0E-6                   6.570000000000001E-8     0.13154289351792806
1.0E-6                   6.580000000000001E-8     0.151369726144733
